split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
0.7617888255182057,0.7575384425006825,0.7567153498767843,0.7586808726318908,0.002223195706566493,37,0.46673353513081867,0.005929387784214137,0.3603204091389974,0.0343741512575402,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",50,20,0.002,0.02
0.7633920995425602,0.7585052219141978,0.7569849904987475,0.7596274373185018,0.0027334089991644175,39,0.4982767105102539,0.020261106542611367,0.3230470021565755,0.04724852432046072,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.06}",50,20,0.002,0.06
0.7646675683288119,0.7596491645200352,0.7590698783777812,0.7611288704088762,0.0025133881959180657,42,0.4849199453989665,0.023774723362211706,0.3148996829986572,0.03248444333429094,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.1}",50,20,0.002,0.1
0.7512407452175912,0.7497371781629241,0.7470446699223199,0.7493408644342784,0.0017358111263482124,25,0.47423839569091797,0.019211318255433613,0.34000221888224286,0.009819154990021374,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",50,20,0.005,0.02
0.7526731031539045,0.7494727824137989,0.7460396820540511,0.7493951892072515,0.0027086385757758504,26,0.4850916067759196,0.011336212922231565,0.30464935302734375,0.029122615572825576,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.06}",50,20,0.005,0.06
0.7550767066983962,0.7509286646719635,0.748753078014559,0.751586149794973,0.0026231386985817976,34,0.49633042017618817,0.01585280161832808,0.3158903916676839,0.027074925105481512,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",50,20,0.005,0.1
0.7619848031358952,0.7595076083033635,0.7552521617270422,0.7589148577221003,0.002780363288462064,38,0.4819663365681966,0.031213542222052467,0.31908663113911945,0.0343850394218222,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.02}",50,20,0.01,0.02
0.741414778880249,0.7385666574722398,0.7347914783977313,0.7382576382500733,0.002712765744915576,8,0.4692496458689372,0.024144391389173632,0.34410874048868817,0.00793454350071258,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.06}",50,20,0.01,0.06
0.7427403043427294,0.7405330253899324,0.7391278738140823,0.740800401182248,0.001486838018932068,16,0.47245510419209796,0.015979782955517798,0.305404265721639,0.026052380897282585,"{'n_factors': 50, 'n_epochs': 20, 'lr_all': 0.01, 'reg_all': 0.1}",50,20,0.01,0.1
0.751793024812184,0.7489740677163457,0.7472056710826109,0.7493242545370468,0.0018890785526461723,24,1.1485394636789958,0.017051061431923947,0.2891271909077962,0.015040391504224532,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.002, 'reg_all': 0.02}",50,50,0.002,0.02
0.751661824257991,0.7474946433234743,0.7450409124320972,0.7480657933378542,0.0027329809861223638,18,1.1556201775868733,0.024661591963710594,0.28324460983276367,0.015347624406385632,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.002, 'reg_all': 0.06}",50,50,0.002,0.06
0.754229694019794,0.7509955439952907,0.7487713956390868,0.7513322112180573,0.002241021183504182,33,1.1443553765614827,0.014835674098490749,0.3006027539571126,0.018160311964582294,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.002, 'reg_all': 0.1}",50,50,0.002,0.1
0.7724787684146852,0.773360002380262,0.7736144395705791,0.773151070121842,0.000486605082888004,52,1.1310183207194011,0.012853761454802637,0.32456167538960773,0.013340355111912486,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.02}",50,50,0.005,0.02
0.7416327746523609,0.7382356628830447,0.7348264112686916,0.7382316162680324,0.002778687688934971,7,1.1573306719462078,0.03043726253089893,0.2883276144663493,0.024255266774221233,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.06}",50,50,0.005,0.06
0.7403910000062743,0.7362146432277404,0.7338679152253655,0.7368245194864601,0.0026977299782030826,6,1.1278127829233806,0.02454749359221739,0.30079348882039386,0.021867690625166553,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.1}",50,50,0.005,0.1
0.80470171557203,0.8094474097092113,0.8079281102624201,0.8073590785145538,0.0019787624176875553,54,1.16927965482076,0.02299313359176004,0.3011922836303711,0.024520874591387787,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.01, 'reg_all': 0.02}",50,50,0.01,0.02
0.7503007756905337,0.7511568340893945,0.7457600296916971,0.7490725464905417,0.002368232062465742,22,1.1384905179341633,0.01852982940511656,0.28962890307108563,0.017738035714170423,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.01, 'reg_all': 0.06}",50,50,0.01,0.06
0.7371529727174441,0.7342305922628167,0.7317654182739164,0.7343829944180591,0.002202098322537784,3,1.1528594493865967,0.014959523802946038,0.2865583101908366,0.014973059597371373,"{'n_factors': 50, 'n_epochs': 50, 'lr_all': 0.01, 'reg_all': 0.1}",50,50,0.01,0.1
